species,Longitude,Latitude
Vellozia brevifolia,-43.4154793,-19.9632094
Vellozia brevifolia,-43.450833,-20.133333
Vellozia brevifolia,-43.694722,-19.035277
Vellozia brevifolia,-43.705555,-19.042777
Vellozia brevifolia,-43.7175,-18.255278
