species,Longitude,Latitude
Vellozia alata,-43.554488,-19.288549
Vellozia alata,-43.744901,-19.5174009
Vellozia alata,-43.583333,-19.283333
Vellozia alata,-43.75576,-19.006194
Vellozia alata,-43.762345,-19.008004
Vellozia alata,-43.758611,-19.005833
Vellozia alata,-43.591944,-19.296667
