"","K","P-value (K)","lambda","P-value (lambda)"
"BEAST",0.170881582092067,0.814399999999927,0.248281522575667,0.107828858434709
"RAxML",0.0607299466878904,0.844199999999923,0.411591032642257,0.0220879879882485
