"","K","P-value (K)","lambda","P-value (lambda)"
"BEAST",0.392814432606504,0.0220999999999999,0.564737428260693,0.0433939122656885
"RAxML",0.542713583399241,9e-04,0.812895583803815,2.0130905764889e-06
